CGG_NM,STDG_NM,BLDG_USG,평균전세가_만원,거래건수
강동구,성내동,아파트,58169.4,261
성북구,보문동3가,아파트,58113.3,30
성북구,장위동,아파트,58094.3,250
강동구,암사동,아파트,58034.7,497
동대문구,답십리동,아파트,58025.2,494
서초구,신원동,연립다세대,58000.0,1
중구,황학동,아파트,57947.0,83
양천구,목동,오피스텔,57670.8,177
서대문구,연희동,아파트,57658.6,53
성동구,응봉동,아파트,57611.3,186
영등포구,영등포동,아파트,57309.3,148
종로구,당주동,아파트,57214.3,7
양천구,신정동,아파트,57119.8,1677
성북구,동소문동7가,아파트,57045.0,10
동작구,노량진동,아파트,56985.9,244
마포구,중동,아파트,56964.1,64
마포구,망원동,아파트,56827.0,119
영등포구,양평동5가,아파트,56562.8,74
서대문구,충정로2가,아파트,56300.0,6
영등포구,당산동1가,아파트,56287.3,26
영등포구,당산동3가,아파트,56218.1,83
강남구,율현동,아파트,56073.1,36
은평구,응암동,아파트,56052.4,629
영등포구,도림동,아파트,56051.8,64
성북구,동소문동5가,아파트,55666.7,3
강동구,명일동,아파트,55577.7,489
성북구,삼선동2가,아파트,55563.6,28
강서구,염창동,아파트,55413.8,430
중구,의주로1가,오피스텔,55264.4,8
종로구,교북동,단독다가구,55000.0,1
관악구,남현동,아파트,54554.0,31
서초구,신원동,아파트,54429.1,209
성북구,하월곡동,아파트,54228.0,212
성동구,마장동,아파트,54130.7,143
관악구,봉천동,아파트,54127.0,930
마포구,마포동,아파트,53793.9,33
종로구,평창동,아파트,53705.0,21
동대문구,이문동,아파트,53675.6,382
종로구,구기동,연립다세대,53651.4,35
서대문구,홍제동,아파트,53580.5,463
광진구,군자동,아파트,53550.0,15
종로구,신문로1가,아파트,53500.0,2
성북구,종암동,아파트,53342.3,189
성북구,돈암동,아파트,52570.3,317
용산구,원효로4가,아파트,52569.1,46
서초구,신원동,단독다가구,52500.0,8
영등포구,양평동4가,아파트,52486.7,33
중구,만리동2가,오피스텔,52482.4,17
영등포구,문래동5가,아파트,52214.4,63
서초구,내곡동,연립다세대,52000.0,4
성동구,송정동,아파트,51935.9,17
강서구,내발산동,아파트,51914.9,406
동대문구,장안동,아파트,51419.2,252
서초구,우면동,아파트,51375.8,556
동대문구,제기동,아파트,51303.4,59
종로구,숭인동,아파트,51270.9,43
강남구,자곡동,아파트,51220.6,454
영등포구,문래동4가,아파트,51195.5,22
송파구,삼전동,아파트,51118.8,12
동대문구,청량리동,아파트,50759.4,116
영등포구,여의도동,오피스텔,50693.7,168
동대문구,휘경동,아파트,50678.6,190
강서구,화곡동,아파트,50622.7,530
영등포구,양평동6가,아파트,50597.1,17
서초구,양재동,아파트,50404.7,238
강남구,청담동,연립다세대,50197.3,68
강북구,미아동,아파트,50055.6,485
서초구,염곡동,연립다세대,50000.0,1
중랑구,면목동,아파트,49986.9,323
성동구,용답동,아파트,49902.3,23
영등포구,대림동,아파트,49738.4,251
영등포구,당산동,아파트,49669.9,83
강동구,길동,아파트,49638.9,332
서대문구,천연동,아파트,49519.2,43
강동구,강일동,아파트,49441.7,494
동대문구,신설동,아파트,49265.0,10
종로구,체부동,연립다세대,49000.0,2
성북구,동선동4가,아파트,49000.0,1
성북구,석관동,아파트,48907.1,126
구로구,항동,아파트,48778.5,119
서대문구,홍은동,아파트,48727.5,266
강서구,마곡동,아파트,48542.4,1012
강남구,자곡동,단독다가구,48333.3,3
서대문구,대현동,아파트,48279.0,52
성북구,동소문동4가,아파트,48067.5,10
성북구,보문동2가,오피스텔,48000.0,1
영등포구,문래동6가,아파트,47880.0,81
강남구,수서동,단독다가구,47750.0,2
은평구,불광동,아파트,47645.0,237
중구,북창동,오피스텔,47500.0,2
중랑구,망우동,아파트,47436.0,110
송파구,마천동,아파트,47414.3,110
영등포구,당산동2가,아파트,47398.3,69
성동구,사근동,아파트,47356.2,8
동작구,노량진동,단독다가구,47229.7,91
중랑구,상봉동,아파트,46792.8,156
영등포구,양평동2가,아파트,46306.2,44
종로구,구기동,아파트,46133.3,3
광진구,광장동,연립다세대,46039.2,39
송파구,신천동,오피스텔,45963.6,11
마포구,노고산동,아파트,45960.5,19
영등포구,문래동3가,오피스텔,45783.5,52
강서구,등촌동,아파트,45780.5,544
종로구,평창동,연립다세대,45771.2,23
은평구,역촌동,아파트,45526.1,44
중랑구,중화동,아파트,45233.2,83
영등포구,양평동5가,단독다가구,45000.0,1
중구,묵정동,아파트,44791.9,31
중랑구,묵동,아파트,44445.8,236
금천구,독산동,아파트,44412.4,399
서초구,염곡동,단독다가구,44192.9,7
성북구,상월곡동,아파트,44150.9,27
성북구,정릉동,아파트,44107.9,286
구로구,개봉동,아파트,44051.0,358
종로구,가회동,단독다가구,44013.3,3
용산구,용산동2가,아파트,43985.7,7
강서구,공항동,아파트,43927.7,19
양천구,신월동,아파트,43893.9,657
강서구,마곡동,단독다가구,43833.3,3
용산구,후암동,아파트,43662.5,16
영등포구,양평동1가,아파트,43125.7,75
서대문구,신촌동,연립다세대,43000.0,1
성동구,옥수동,연립다세대,42692.9,7
관악구,신림동,아파트,42522.4,525
은평구,진관동,단독다가구,42333.3,3
강서구,내발산동,오피스텔,42165.0,6
영등포구,당산동2가,연립다세대,42000.0,1
서초구,내곡동,단독다가구,41800.0,5
은평구,신사동,아파트,41417.3,225
중구,필동1가,오피스텔,41285.7,7
은평구,진관동,아파트,41233.8,881
종로구,창신동,아파트,41118.7,106
동대문구,전농동,오피스텔,41075.6,147
동대문구,회기동,아파트,40868.1,36
강동구,강일동,단독다가구,40846.2,13
노원구,중계동,아파트,40693.6,1112
은평구,구산동,아파트,40689.1,32
강서구,가양동,아파트,40472.7,671
종로구,부암동,단독다가구,40460.7,7
영등포구,문래동6가,오피스텔,40391.8,120
강남구,세곡동,단독다가구,40236.8,19
구로구,온수동,아파트,39435.2,52
종로구,수송동,오피스텔,39375.0,4
중구,만리동1가,오피스텔,39330.0,7
노원구,공릉동,아파트,39172.3,483
영등포구,도림동,오피스텔,39039.6,108
용산구,원효로2가,오피스텔,38966.7,24
은평구,갈현동,아파트,38771.2,65
종로구,혜화동,오피스텔,38600.0,5
용산구,한강로2가,오피스텔,38469.8,112
노원구,하계동,아파트,38014.1,510
구로구,구로동,아파트,37780.1,858
서초구,반포동,연립다세대,37777.6,264
서초구,방배동,연립다세대,37748.4,693
강남구,논현동,오피스텔,37742.1,19
구로구,오류동,아파트,37720.4,116
동작구,동작동,연립다세대,37615.0,8
서대문구,충정로3가,아파트,37522.7,22
구로구,가리봉동,아파트,37500.0,2
용산구,문배동,오피스텔,37214.4,109
구로구,신도림동,오피스텔,37046.2,124
강남구,대치동,연립다세대,37033.0,202
종로구,누하동,연립다세대,37000.0,2
성북구,동소문동7가,연립다세대,37000.0,1
서초구,방배동,오피스텔,36897.9,29
강서구,방화동,아파트,36876.7,501
강북구,우이동,아파트,36868.3,14
용산구,한강로1가,오피스텔,36844.8,62
종로구,이화동,아파트,36700.0,1
용산구,한강로3가,오피스텔,36326.2,15
영등포구,양평동3가,오피스텔,36199.1,92
종로구,신영동,아파트,36000.0,2
서초구,서초동,연립다세대,35982.9,313
성북구,안암동3가,아파트,35964.3,21
광진구,자양동,오피스텔,35875.4,55
서초구,우면동,연립다세대,35730.9,47
강남구,삼성동,연립다세대,35665.6,127
영등포구,영등포동5가,아파트,35500.0,5
강동구,상일동,연립다세대,35484.2,54
용산구,이태원동,연립다세대,35418.8,119
영등포구,당산동2가,오피스텔,35399.3,44
서대문구,창천동,아파트,35375.0,4
마포구,성산동,아파트,35359.1,384
도봉구,방학동,아파트,35140.2,303
종로구,구기동,단독다가구,35100.0,5
종로구,신교동,아파트,35000.0,1
서대문구,북아현동,오피스텔,34964.7,17
노원구,하계동,연립다세대,34960.1,21
중구,회현동2가,연립다세대,34857.1,7
강남구,율현동,단독다가구,34581.1,35
마포구,토정동,연립다세대,34561.1,9
종로구,교북동,오피스텔,34531.4,7
중구,을지로5가,오피스텔,34520.0,5
성북구,종암동,오피스텔,34500.0,2
용산구,원효로1가,오피스텔,34359.2,59
은평구,갈현동,오피스텔,34350.0,6
용산구,도원동,연립다세대,34333.3,3
금천구,시흥동,아파트,34326.4,334
양천구,신정동,오피스텔,34293.1,133
구로구,고척동,아파트,34284.2,271
중구,순화동,오피스텔,34171.6,8
중구,중림동,오피스텔,34111.9,46
노원구,월계동,아파트,34024.6,817
용산구,문배동,연립다세대,34000.0,2
종로구,체부동,단독다가구,34000.0,2
구로구,항동,단독다가구,34000.0,2
강남구,도곡동,연립다세대,33998.6,41
강남구,개포동,연립다세대,33880.5,254
영등포구,당산동6가,오피스텔,33716.6,61
강북구,수유동,아파트,33594.4,97
강남구,청담동,단독다가구,33538.2,17
종로구,필운동,연립다세대,33455.0,4
광진구,중곡동,아파트,33450.9,23
도봉구,창동,아파트,33413.8,915
중구,인현동2가,아파트,33403.7,31
도봉구,도봉동,아파트,33358.1,197
성북구,성북동,연립다세대,33349.5,118
종로구,홍파동,연립다세대,33333.3,3
마포구,용강동,단독다가구,33333.3,3
서초구,양재동,연립다세대,33306.8,516
영등포구,당산동3가,오피스텔,33300.4,49
종로구,사직동,오피스텔,33266.7,6
노원구,중계동,오피스텔,33200.0,17
마포구,도화동,오피스텔,33121.3,59
용산구,남영동,연립다세대,33000.0,2
마포구,현석동,연립다세대,32971.1,38
강남구,신사동,연립다세대,32876.0,49
중구,흥인동,아파트,32646.2,13
종로구,익선동,아파트,32628.6,7
광진구,화양동,아파트,32551.8,28
송파구,문정동,오피스텔,32442.9,344
중구,황학동,오피스텔,32342.4,293
영등포구,영등포동3가,연립다세대,32177.5,2
중구,만리동1가,연립다세대,32063.9,18
용산구,원효로2가,아파트,32020.0,5
성북구,동선동1가,아파트,32000.0,1
강남구,세곡동,오피스텔,31984.3,54
영등포구,영등포동4가,오피스텔,31965.0,22
영등포구,문래동1가,오피스텔,31833.3,3
송파구,송파동,오피스텔,31717.3,12
성북구,동소문동6가,연립다세대,31666.7,3
중구,정동,아파트,31593.8,16
영등포구,양평동6가,오피스텔,31515.5,101
중구,남산동2가,연립다세대,31500.0,1
서대문구,합동,연립다세대,31500.0,1
강남구,일원동,연립다세대,31495.3,177
강남구,삼성동,오피스텔,31490.9,62
영등포구,양평동4가,오피스텔,31455.9,54
성동구,하왕십리동,연립다세대,31368.4,51
도봉구,쌍문동,아파트,31191.5,277
용산구,동자동,오피스텔,31147.1,34
중랑구,망우동,오피스텔,30951.6,239
영등포구,양평동5가,오피스텔,30846.8,44
송파구,잠실동,오피스텔,30835.7,61
종로구,명륜1가,연립다세대,30833.3,18
성동구,행당동,연립다세대,30792.1,55
구로구,궁동,아파트,30732.8,6
서대문구,남가좌동,오피스텔,30700.0,1
금천구,가산동,아파트,30697.6,44
강동구,고덕동,오피스텔,30687.5,16
종로구,신영동,연립다세대,30637.7,26
영등포구,양평동2가,오피스텔,30587.0,128
강남구,논현동,연립다세대,30577.9,286
용산구,동빙고동,연립다세대,30500.0,29
종로구,옥인동,연립다세대,30425.0,8
종로구,부암동,연립다세대,30177.3,11
영등포구,양평동1가,연립다세대,30092.9,14
중구,신당동,연립다세대,30075.3,210
성북구,보문동2가,연립다세대,30027.8,8
서대문구,영천동,연립다세대,30000.0,1
서대문구,영천동,오피스텔,30000.0,1
중구,필동2가,단독다가구,30000.0,1
용산구,갈월동,아파트,30000.0,1
종로구,낙원동,단독다가구,30000.0,1
영등포구,영등포동5가,단독다가구,30000.0,2
중구,필동3가,아파트,30000.0,1
종로구,홍지동,연립다세대,30000.0,1
영등포구,당산동6가,연립다세대,29953.0,37
용산구,원효로2가,연립다세대,29906.0,42
영등포구,당산동3가,연립다세대,29816.7,6
송파구,방이동,오피스텔,29682.9,254
동작구,흑석동,연립다세대,29494.6,37
종로구,누하동,단독다가구,29475.0,4
동작구,신대방동,오피스텔,29403.9,36
영등포구,영등포동1가,아파트,29402.9,34
영등포구,영등포동2가,아파트,29400.0,17
영등포구,문래동5가,오피스텔,29371.4,7
서초구,우면동,단독다가구,29321.1,9
광진구,능동,아파트,29313.3,3
송파구,거여동,오피스텔,29295.9,87
성동구,성수동1가,오피스텔,29144.5,71
동대문구,제기동,오피스텔,29133.3,9
성북구,보문동7가,오피스텔,29100.0,2
용산구,효창동,연립다세대,29035.6,235
성동구,행당동,오피스텔,29007.7,13
영등포구,당산동,단독다가구,29000.0,1
영등포구,당산동1가,오피스텔,28971.4,38
마포구,구수동,연립다세대,28936.4,11
동대문구,신설동,연립다세대,28925.0,12
종로구,충신동,오피스텔,28900.0,4
강북구,번동,아파트,28891.0,167
성동구,금호동2가,연립다세대,28875.0,8
강남구,역삼동,연립다세대,28841.7,412
구로구,천왕동,아파트,28680.0,312
도봉구,도봉동,오피스텔,28655.0,80
용산구,갈월동,연립다세대,28610.2,20
강남구,일원동,단독다가구,28523.6,52
종로구,옥인동,단독다가구,28500.0,4
마포구,신공덕동,연립다세대,28374.4,18
마포구,마포동,연립다세대,28335.3,17
서초구,양재동,오피스텔,28263.2,19
종로구,종로6가,연립다세대,28250.0,12
성북구,안암동3가,연립다세대,28214.3,7
강남구,자곡동,오피스텔,28200.1,85
서초구,방배동,단독다가구,28196.1,166
서초구,서초동,오피스텔,28180.8,258
성동구,홍익동,연립다세대,28166.7,6
중랑구,신내동,아파트,28043.3,784
중구,회현동1가,오피스텔,28000.0,4
노원구,상계동,아파트,27982.6,2624
마포구,성산동,오피스텔,27981.1,119
마포구,공덕동,오피스텔,27941.2,142
종로구,계동,단독다가구,27916.7,6
강서구,내발산동,연립다세대,27794.6,79
송파구,방이동,연립다세대,27767.2,419
중구,충무로5가,오피스텔,27725.0,4
마포구,중동,연립다세대,27720.7,34
영등포구,영등포동7가,연립다세대,27691.7,12
용산구,청파동3가,연립다세대,27688.4,205
강동구,둔촌동,연립다세대,27649.9,123
마포구,합정동,오피스텔,27629.1,11
종로구,누상동,연립다세대,27621.0,24
중구,광희동2가,연립다세대,27560.0,15
동대문구,답십리동,오피스텔,27467.3,55
서대문구,합동,오피스텔,27400.0,5
용산구,원효로3가,오피스텔,27381.6,53
송파구,송파동,연립다세대,27368.3,346
광진구,자양동,연립다세대,27361.8,797
강동구,둔촌동,오피스텔,27360.0,5
종로구,효제동,아파트,27300.0,4
성동구,하왕십리동,오피스텔,27192.0,10
성북구,동소문동4가,연립다세대,27185.7,7
송파구,잠실동,연립다세대,27178.1,409
서초구,서초동,단독다가구,27151.7,58
종로구,명륜4가,연립다세대,27150.0,2
서초구,잠원동,연립다세대,27148.0,25
용산구,후암동,연립다세대,27136.5,252
강서구,염창동,오피스텔,27067.3,101
강남구,대치동,오피스텔,27004.0,58
종로구,화동,단독다가구,27000.0,1
성북구,보문동7가,연립다세대,26933.3,3
송파구,오금동,연립다세대,26896.5,164
송파구,문정동,연립다세대,26851.7,216
마포구,신공덕동,오피스텔,26789.1,18
영등포구,영등포동6가,연립다세대,26761.6,11
중구,광희동2가,오피스텔,26750.0,2
송파구,가락동,연립다세대,26695.1,229
동작구,사당동,연립다세대,26641.4,419
영등포구,영등포동5가,오피스텔,26601.7,12
영등포구,영등포동8가,연립다세대,26525.0,4
종로구,인의동,오피스텔,26500.0,2
서초구,신원동,오피스텔,26469.5,20
강동구,명일동,연립다세대,26462.3,111
중구,광희동1가,오피스텔,26350.0,2
동작구,노량진동,연립다세대,26335.4,93
서대문구,홍은동,오피스텔,26333.3,6
성동구,도선동,오피스텔,26316.3,55
동대문구,청량리동,오피스텔,26310.4,63
광진구,구의동,연립다세대,26302.5,374
마포구,서교동,연립다세대,26279.4,121
광진구,능동,연립다세대,26212.5,93
강서구,염창동,연립다세대,26204.2,24
용산구,동자동,연립다세대,26125.0,6
용산구,원효로1가,연립다세대,26111.8,147
마포구,아현동,오피스텔,26100.0,22
송파구,삼전동,오피스텔,26090.5,21
마포구,염리동,오피스텔,26025.0,8
용산구,용문동,연립다세대,26008.6,227
송파구,삼전동,연립다세대,25968.1,392
성북구,동소문동4가,오피스텔,25964.3,7
강남구,대치동,단독다가구,25910.7,68
용산구,청파동2가,연립다세대,25910.2,64
광진구,광장동,오피스텔,25887.5,4
중구,황학동,연립다세대,25828.5,20
성북구,삼선동4가,연립다세대,25780.3,9
중구,회현동1가,연립다세대,25767.9,35
성동구,응봉동,단독다가구,25671.4,7
동대문구,장안동,오피스텔,25649.1,227
용산구,청파동1가,오피스텔,25631.2,8
중구,오장동,아파트,25600.0,7
서초구,잠원동,단독다가구,25500.0,13
은평구,신사동,오피스텔,25492.6,25
마포구,공덕동,연립다세대,25402.0,53
용산구,원효로3가,아파트,25333.3,3
마포구,동교동,연립다세대,25333.3,9
중랑구,면목동,오피스텔,25306.2,50
성북구,삼선동4가,오피스텔,25305.0,5
송파구,석촌동,연립다세대,25302.0,444
양천구,신월동,오피스텔,25222.6,23
용산구,청파동1가,연립다세대,25196.2,164
중구,필동2가,연립다세대,25190.0,2
영등포구,당산동1가,연립다세대,25148.8,32
성동구,성수동1가,연립다세대,25143.5,109
성북구,동소문동1가,연립다세대,25037.0,3
강동구,고덕동,연립다세대,25004.7,172
마포구,대흥동,오피스텔,25000.0,4
성북구,동선동4가,연립다세대,25000.0,1
영등포구,영등포동5가,연립다세대,25000.0,6
중구,남창동,아파트,25000.0,1
동작구,상도1동,연립다세대,24979.4,33
중구,을지로4가,오피스텔,24966.4,7
동대문구,장안동,연립다세대,24965.4,126
마포구,합정동,연립다세대,24954.4,295
강남구,역삼동,오피스텔,24944.8,200
종로구,연지동,연립다세대,24933.3,3
서대문구,창천동,연립다세대,24918.4,70
강남구,개포동,오피스텔,24917.2,34
서대문구,대신동,연립다세대,24900.0,2
은평구,진관동,오피스텔,24869.1,42
영등포구,문래동3가,연립다세대,24866.2,4
강동구,암사동,연립다세대,24852.8,251
영등포구,양평동1가,오피스텔,24784.8,38
종로구,내수동,오피스텔,24765.0,30
송파구,석촌동,오피스텔,24752.9,14
마포구,연남동,연립다세대,24717.1,84
중구,충무로5가,아파트,24706.2,16
중랑구,상봉동,오피스텔,24599.8,99
강남구,도곡동,단독다가구,24597.1,24
관악구,남현동,연립다세대,24588.9,62
성북구,성북동1가,연립다세대,24537.5,4
영등포구,양평동6가,연립다세대,24511.4,38
구로구,가리봉동,오피스텔,24505.3,19
강서구,등촌동,오피스텔,24503.6,362
성동구,금호동3가,연립다세대,24502.8,59
동대문구,답십리동,연립다세대,24485.9,87
강남구,수서동,오피스텔,24484.4,16
용산구,신계동,연립다세대,24482.1,24
광진구,중곡동,연립다세대,24472.0,471
마포구,신수동,연립다세대,24470.7,84
광진구,군자동,연립다세대,24466.9,97
동작구,대방동,연립다세대,24460.5,78
마포구,망원동,연립다세대,24452.5,342
마포구,용강동,연립다세대,24451.6,44
성북구,삼선동2가,연립다세대,24450.0,2
용산구,주성동,연립다세대,24429.4,12
강동구,길동,연립다세대,24401.5,149
강서구,염창동,단독다가구,24400.0,5
서대문구,연희동,연립다세대,24381.5,89
용산구,한강로1가,연립다세대,24378.3,29
마포구,성산동,연립다세대,24362.3,263
용산구,갈월동,오피스텔,24300.0,1
영등포구,당산동4가,오피스텔,24221.4,14
서대문구,충정로3가,연립다세대,24214.5,20
영등포구,당산동4가,연립다세대,24214.3,7
중구,예장동,연립다세대,24193.0,10
영등포구,영등포동,연립다세대,24156.5,26
중구,흥인동,오피스텔,24149.8,13
용산구,한남동,단독다가구,24147.1,17
강동구,천호동,연립다세대,24065.6,487
종로구,사직동,연립다세대,24011.7,6
종로구,통인동,아파트,24000.0,1
종로구,계동,연립다세대,24000.0,1
성북구,삼선동3가,연립다세대,24000.0,5
동작구,상도1동,오피스텔,24000.0,1
영등포구,대림동,오피스텔,23981.8,11
종로구,원서동,연립다세대,23977.8,9
강동구,성내동,연립다세대,23926.1,297
송파구,오금동,오피스텔,23911.1,9
중구,을지로6가,오피스텔,23900.0,2
강동구,명일동,오피스텔,23895.9,62
마포구,도화동,연립다세대,23882.2,81
송파구,거여동,연립다세대,23877.3,85
영등포구,영등포동2가,오피스텔,23858.3,173
송파구,가락동,오피스텔,23831.2,16
성동구,마장동,오피스텔,23821.4,7
은평구,증산동,연립다세대,23720.4,37
영등포구,양평동2가,연립다세대,23666.7,3
성북구,동선동3가,연립다세대,23566.7,6
용산구,보광동,연립다세대,23566.6,5
영등포구,영등포동7가,오피스텔,23516.8,116
도봉구,쌍문동,오피스텔,23500.0,2
용산구,서빙고동,연립다세대,23500.0,34
성북구,보문동6가,연립다세대,23500.0,2
강남구,신사동,오피스텔,23500.0,1
동대문구,용두동,연립다세대,23483.5,127
종로구,경운동,오피스텔,23475.0,6
종로구,신교동,연립다세대,23462.5,4
금천구,독산동,오피스텔,23460.9,610
동작구,상도동,연립다세대,23451.9,489
중랑구,망우동,연립다세대,23443.1,116
영등포구,영등포동8가,오피스텔,23428.6,118
중구,충무로3가,오피스텔,23405.0,8
중랑구,면목동,연립다세대,23367.9,496
마포구,상수동,연립다세대,23331.6,61
중구,신당동,오피스텔,23281.3,46
동작구,사당동,오피스텔,23278.3,15
강서구,방화동,오피스텔,23213.6,110
종로구,연지동,오피스텔,23149.4,18
성동구,용답동,연립다세대,23143.9,146
성북구,길음동,연립다세대,23135.0,10
광진구,구의동,오피스텔,23133.4,36
강동구,길동,오피스텔,23131.3,55
